"#事件类别
0 : 小镇发展
1 : 获得荣誉
2 : 企业落户
3 : 领导莅临",#时间,#事件描述,"#展示类别(待定)
0 :  默认
1 : 不配图，文字，数字放大(需要样式)"
EventType,Time,EventDesc,ShowType
0,2013.05.03 ,""" 建设中的
杭州湾信息港""",0
x,3,"5555
6666",4
1,2013.10.14 ,"信息港荣
获杭州市高新
技术产业园称号",
0,2013.12.18,第一条公交专线开通运营,
0,2014.01.15,杭州湾信息港正式开园,
2,2014.03.10 ,信息港第一家企业百米贩正式入驻,
2,2014.08.01,挂号网（微医集团）签约落户,
1,2014.09.23 ,信息港荣获杭州市级科技企业孵化器称号,
3,2014.10.19,原全国政协副主席李金华莅临调研,
3,2015.01.28,时任浙江省委常委、杭州市委书记龚正，市长张鸿铭莅临调研,
3,2015.07.22,时任浙江省委书记夏宝龙莅临调研,
1,2015.08.14 ,信息港荣获杭州市小型微型企业创业创新示范基地称号,
1,2015.11.23,信息港荣获浙江省科技企业孵化器称号,
0,2015.11.30,信息港入驻企业突破100家,
0,2015.12.08, 信息港四期跨境电商产业园正式开园,
3,2016.01.07 ,时任浙江省委副书记、省长李强调研信息港企业,
1,2016.01.28,信息港小镇入选第二批省级特色小镇创建名单,
2,2016.02.24,信息港首家新三板挂牌企业（网盛数新）正式诞生,
1,2016.06.06,信息港荣获浙江省小型微型企业创业创新示范基地称号,
0,2016.06.17 ,共青团杭州湾信息港委员会正式成立，并设立首批15个团支部,
0,2016.06.28,中共杭州湾信息港委员会正式成立,
0,2016. 07.30, 信息港财政税收首次突破1亿元，正式迈入“亿元”楼宇时代,
1,2016.09.30,映创空间、魔豆工坊获评国家级众创空间，实现全区零突破,
3,2016.10.23,时任全国政协副主席、致公党中央主席、科技部部长万钢莅临调研,
0,2016.12.02,信息港首批四个企业党总支正式设立,
1,2016.12.24, 信息港获评国家级科技企业孵化器称号,
0,2017.03.13,信息港小镇创新服务大厅正式启用，践行“最多跑一次”改革理念,
2,2017.04.28,华网信息签约落户,
3,2017.05.04,时任全国政协副主席、九三学社中央主席、中国科协主席韩启德莅临调研,
0,2017.05.15,杭州湾信息港工会委员会正式成立,
1,2017.07.07,信息港荣获国家小型微型企业创业创新示范基地称号,
2,2017.07.24,裕隆金融签约落户,
1,2017.08.02,信息港小镇获评浙江省优秀特色创建小镇,
2,2017.09.28,科大讯飞浙江总部签约落户,
0,2017.09.28,信息港小镇新的社会阶层人士联谊会正式成立,
0,2017.11.15 ,信息港二期正式开园,
0,2017.12.31 ,信息港小镇累计到位外资突破5亿美金,
0,2018.03.07,信息港小镇妇女联合会正式成立,
2,2018.04.20,云集签约落户,
1,2018.04.28 ,信息港获颁杭州市五一劳动奖状,
1,2018.05.08,信息港小镇获评国家3A级旅游景区,
3,2018.05.21,国务院副总理孙春兰调研信息港企业,
3,2018.05.22,浙江省委常委、杭州市委书记周江勇莅临调研,
0,2018.05.31,信息港小镇创业者突破10000人,
2,2018.06.05,歌礼签约落户,
2,2018.07.18,浙商中拓签约落户,
2,2018.08.01,信息港首家港股上市企业（歌礼）正式诞生,
2,2018.09.13 ,湾区孵化器签约落户,
1,2018.09.26,信息港小镇工资集体协商大会登上工人日报头版头条,
3,2018.09.30,时任杭州市委副书记、市长徐立毅莅临调研,
0,2018.12.31,信息港小镇注册企业突破2000家,
3,2019.02.27,浙江省委书记（时任省长）袁家军莅临调研,
3,2019.03.19,原杭州市委书记王国平莅临调研,
2,2019.04.01,浙能迈领签约落户,
0,2019.04.03 ,全国首条5G车路协同自动驾驶测试路线成功运行,
1,2019.04.29,信息港荣获杭州市模范集体称号,
2,2019.05.03,信息港首家境外上市企业诞生，小镇上市企业突破15家,
0,2019.05.31,信息港小镇创业者突破20000人,
0,2019.07.31,信息港小镇财政税收突破10亿元,
1,2019.09.26,信息港小镇被正式命名为浙江省特色小镇,
1,2019.10.28,信息港荣获国家中小企业公共服务示范平台称号,
0,2019.10.31,信息港小镇归国华侨联合会正式成立,
0,2019.12.31,信息港小镇估值超1亿元企业突破50家,
1,2020.01.06 ,信息港小镇荣获浙江省侨联侨界创新创业基地称号,
0,2020.03.20 ,信息港七期生命健康产业园开工建设,
0,2020.04.08,“创新杭州湾”全球项目扶持计划正式启动,
3,2020.04.19 , 杭州市委副书记、市长刘忻莅临调研,
0,2020.05.07,信息港六期杭州湾数字健康创新谷正式开园,
0,2020.05.27 ,信息港八期湾区数字公园正式开园,
0,2020.05.30, 信息港小镇创业者突破30000人,
0,2020.06.22,信息港首家院士工作站正式启动,
3,2020.07.02,时任浙江省委书记车俊莅临调研,
0,2020.07.16,信息港五期浙大杭州国际科创中心正式开园,
0,2020.08.12,信息港九期杭州集成电路设计产业园开工建设,
0,2020.08.31,信息港小镇财政税收突破20亿元,
0,2020.08.25,信息港小镇科学技术协会正式成立,
0,2020.09.22,中共杭州湾信息港委员会统战部正式成立,
0,2020.11.30,信息港小镇累计到位外资突破10亿美金,
1,2020.11.16,信息港荣获国家火炬新一代人工智能特色产业基地称号,
1,2020.12.11, 信息港小镇在国家级科技企业孵化器考核中再次获得A类优秀，至此已连续4年获此殊荣,
1,2020.12.11 ,信息港小镇荣获浙江省示范新领域妇联组织称号,
1,2020.12.14,信息港荣获浙江省五星级小微企业园称号,
0,2020.12.30,杭州地铁7号线杭州湾信息港站（明星路站）开通运行,
